mm/dd/yy-HH:MM,Int,Ext,Tds,Sal,Con,Bat
3/20/20-22:34,68,70.7,12,0,21.84,4.21
3/20/20-23:04,68,70.7,12,0,21.84,4.21
3/20/20-23:34,68,70.7,12,0,22.2,4.21
3/21/20-0:04,68,70.7,12,0,22.58,4.21
3/21/20-0:34,68,70.7,12,0,22.57,4.21
3/21/20-1:04,68,70.7,12,0,22.2,4.21
3/21/20-1:34,68,70.7,12,0,22.2,4.21
3/21/20-2:04,68,70.7,12,0,22.58,4.21
3/21/20-2:34,68,70.7,12,0,22.58,4.21
3/21/20-3:04,68,70.7,12,0,22.58,4.21
3/21/20-3:34,68,70.7,12,0,22.58,4.21
3/21/20-4:04,67.1,70.7,12,0,22.96,4.21
3/21/20-4:34,67.1,70.7,12,0,22.96,4.21
3/21/20-12:34,69.8,70.7,13,0,24.07,4.21
3/21/20-13:04,67.1,70.7,13,0,23.68,4.21
3/21/20-13:34,61.7,68.9,12,0,23.07,4.21
3/21/20-14:04,68.9,74.3,3,0,6.03,4.21
3/21/20-14:34,68.9,70.7,14,0,25.15,4.21
3/21/20-15:04,69.8,70.7,14,0,26.27,4.21
3/21/20-15:34,70.7,70.7,14,0,26.65,4.21
3/21/20-16:04,70.7,70.7,15,0,27.38,4.21
3/21/20-16:34,70.7,70.7,15,0,28.12,4.21
3/21/20-17:04,69.8,70.7,15,0,28.12,4.21
3/21/20-17:34,68.9,70.7,15,0,28.5,4.21
3/21/20-18:04,68,70.7,16,0,28.88,4.21
3/21/20-18:34,68,70.7,16,0,29.24,4.21
3/21/20-19:04,68,70.7,16,0,29.63,4.21
3/21/20-19:34,68,70.7,16,0,30,4.21
3/21/20-20:04,68,70.7,16,0,30.36,4.21
3/21/20-20:34,68,70.7,17,0,30.74,4.21
3/21/20-21:04,68,70.7,17,0,31.47,4.21
3/21/20-21:34,68,70.7,17,0,31.48,4.21
3/21/20-22:04,68,70.7,17,0,31.86,4.21
3/21/20-22:34,68,70.7,18,0,32.59,4.21
3/21/20-23:04,68,70.7,18,0,32.97,4.21
3/21/20-23:34,68,70.7,18,0,32.97,4.21
3/22/20-0:04,68,70.7,18,0,33.33,4.21
3/22/20-0:34,68,70.7,18,0,33.71,4.21
3/22/20-1:04,68,70.7,18,0,34.06,4.21
3/22/20-1:34,68,70.7,18,0,34.07,4.21
3/22/20-2:04,68,70.7,19,0,34.45,4.21
3/22/20-2:34,68,70.7,19,0,34.45,4.21
3/22/20-3:04,68,70.7,19,0,35.18,4.21
3/22/20-3:34,68.9,70.7,19,0,35.18,4.21
3/22/20-4:04,68.9,70.7,19,0,35.57,4.21
3/22/20-4:34,68.9,70.7,20,0,36.3,4.21
3/22/20-5:04,68.9,70.7,20,0,36.68,4.21
3/22/20-5:34,68.9,70.7,20,0,36.68,4.21
3/22/20-6:04,68.9,70.7,20,0,37.04,4.21
3/22/20-6:34,68.9,70.7,20,0,37.42,4.21
3/22/20-7:04,68.9,70.7,20,0,37.8,4.21
3/22/20-7:34,68.9,70.7,21,0,38.16,4.21
3/22/20-8:04,68.9,70.7,21,0,38.54,4.21
